,Bioactive
46,0
437,0
242,0
290,1
91,1
202,1
127,0
444,0
165,1
432,0
24,1
388,0
389,1
262,0
365,1
184,0
422,0
76,0
312,1
219,0
482,0
27,1
299,1
334,0
57,0
16,1
194,1
387,0
382,0
4,0
81,1
230,0
349,0
473,0
78,0
411,0
8,1
211,1
324,1
336,0
442,0
366,1
403,0
476,0
277,0
186,0
220,0
162,1
269,0
393,0
85,1
209,0
43,1
77,1
457,0
14,1
481,1
251,1
412,1
283,0
279,0
129,0
234,1
348,0
278,0
138,1
356,1
331,0
93,1
166,1
254,0
489,0
35,1
371,0
399,1
216,1
447,0
250,0
218,1
7,1
168,0
18,1
414,0
130,1
268,0
198,0
148,0
244,1
384,1
306,1
71,0
141,0
378,0
156,1
203,1
161,1
228,1
321,1
9,1
86,1
248,0
128,1
354,0
185,0
328,0
260,1
287,0
410,0
450,0
96,1
415,0
237,1
465,1
74,0
101,1
478,0
65,0
246,1
178,0
469,0
453,0
434,0
431,0
340,1
121,0
113,1
351,0
359,1
103,1
361,0
87,1
195,0
147,1
79,1
70,0
94,1
344,1
61,0
157,1
66,0
256,0
245,1
419,0
335,0
19,1
281,0
226,0
98,1
488,0
339,0
294,1
12,1
26,1
362,1
232,1
92,1
231,1
212,1
372,0
261,0
394,1
309,1
145,0
402,0
398,1
50,0
311,1
40,1
114,1
302,0
75,0
0,1
11,1
151,1
207,1
133,0
174,0
134,1
192,0
199,0
131,1
456,0
345,0
221,1
355,1
375,1
13,1
173,1
484,0
45,1
137,1
201,0
119,0
225,0
3,1
120,0
83,1
293,1
48,0
446,0
56,0
298,1
97,1
109,1
474,0
159,1
267,1
347,0
111,0
406,1
273,0
284,0
369,0
405,1
153,0
33,1
249,0
39,1
240,0
67,0
300,1
179,1
55,0
257,0
280,1
377,0
323,1
243,1
370,0
460,0
318,1
417,0
89,1
124,0
443,0
441,1
155,0
305,1
126,0
420,0
132,0
102,1
314,1
462,1
223,1
1,1
187,0
144,1
30,1
34,1
118,0
461,0
123,0
413,0
439,1
368,0
41,1
52,0
176,1
454,0
6,1
210,0
427,0
68,0
135,1
115,0
352,0
263,0
276,0
440,1
342,1
435,0
266,0
390,1
391,1
80,1
227,1
487,0
448,0
436,0
191,1
139,0
175,1
21,1
63,0
222,0
64,0
200,0
433,0
183,0
353,0
350,0
122,0
167,0
189,0
449,0
213,0
326,1
104,0
337,0
253,1
425,0
445,0
105,0
84,1
258,0
429,1
38,1
214,1
5,1
193,0
404,0
392,1
205,0
381,0
255,0
485,0
327,0
330,1
407,0
59,0
338,0
459,1
358,0
259,0
23,1
464,1
182,0
292,1
49,1
20,1
313,1
310,1
471,1
320,0
53,0
252,1
181,1
169,0
363,1
54,0
467,0
107,1
